trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
87,False,"{'a': 0.5, 'e': 0.5867499999999972}",20,3,-34.28097841347236,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 1}",1
88,False,"{'a': 0.5, 'e': 0.5819999999999972}",20,2,0.07945255720716693,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
89,False,"{'a': 0.5, 'e': 0.5772499999999972}",20,15,-3.0990153001333445,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
90,False,"{'a': 0.5, 'e': 0.5724999999999971}",20,6,-4.566655637816236,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
91,False,"{'a': 0.5, 'e': 0.5677499999999971}",25,14,-24.939150196261288,"{0: 7, 1: 0, 2: 4, 3: 0, 4: 0}",1
92,False,"{'a': 0.5, 'e': 0.5629999999999971}",20,8,9.299602321976657,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
93,False,"{'a': 0.5, 'e': 0.558249999999997}",25,17,16.600449897209987,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.5, 'e': 0.553499999999997}",20,10,-15.297396057240842,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
95,False,"{'a': 0.5, 'e': 0.548749999999997}",20,0,-31.791254433393703,"{0: 16, 1: 1, 2: 1, 3: 2, 4: 0}",0
96,False,"{'a': 0.5, 'e': 0.5439999999999969}",25,10,21.73982243020014,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.5, 'e': 0.5392499999999969}",20,9,-11.747828775678363,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 0}",1
98,False,"{'a': 0.5, 'e': 0.5344999999999969}",25,2,-44.54380963515558,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 1}",1
99,False,"{'a': 0.5, 'e': 0.5297499999999968}",25,17,15.698963924638049,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.5, 'e': 0.5249999999999968}",25,12,-84.09579145046384,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 2}",1
